"","daily.returns"
"1",0.0123191503128608
"2",0.00129131296210238
"3",0.00236436742089102
"4",0.00495082414142106
"5",-0.00892733565494455
"6",0.00477526946739735
"7",-0.00534592649108323
"8",0.00826036909216145
"9",0.00135247040654864
"10",0.00684889837587539
"11",-0.000930340218770338
"12",0.00774147868719624
"13",-0.00321183558489435
"14",-0.00209136199188066
"15",0.0120336039511306
"16",-0.00984599379170542
"17",-0.0137030638061225
"18",0.00497661227846238
"19",-0.00263105207453233
"20",0.00364457081760293
"21",0.000678045998096322
"22",-0.00840650201390558
"23",0.00183578351728793
"24",0.0124773618642958
"25",-0.00258476430156828
"26",0.00501454239472669
"27",0.0106109365690445
"28",-0.00489208110781037
"29",-0.00548316949358009
"30",0.00970993507301498
"31",-0.00447854325726168
"32",-0.00414105519836987
"33",-0.00257516885773375
"34",-0.00273073133719369
"35",-0.0016666300221781
"36",0.00401276021237424
"37",0.00108363291943891
"38",2.61215598253532e-05
"39",0.00958761030217458
"40",-0.00596078697716564
"41",0.00167821310954066
"42",0.00333056015374979
"43",0.00172164633648963
"44",-0.00838527733463617
"45",-0.00578728187359358
"46",-0.0147409714793136
"47",-0.015340969821739
"48",0.0123825113607057
"49",-0.0144537553616389
"50",0.00560672210458995
"51",0.0116809035743348
"52",-0.00127338323237601
"53",-0.011236099690318
"54",-0.0130422082257095
"55",-0.00132466117377114
"56",-0.00239785884076267
"57",0.0162328707457067
"58",-0.00101917502338699
"59",0.0129207967557792
"60",0.00402764693878457
"61",-0.000701256526086979
"62",0.00527820546761314
"63",0.00847858992829674
"64",0.0076426511446187
"65",-0.00209673429479858
"66",-0.00666759844133601
"67",-0.00106154627225974
"68",0.00514770554093242
"69",-0.0138573688181811
"70",-0.00112499289346694
"71",0.000593636618158541
"72",0.00509844012864115
"73",0.00106584311207596
"74",-0.0156792540269217
"75",0.00529823330888609
"76",0.0139931150962983
"77",0.000587514205613414
"78",-0.00445489024181362
"79",0.00226945087646608
"80",-0.0138907892722123
"81",-0.00761978318530859
"82",-0.00593374269436586
"83",0.00916042636230619
"84",0.00184177228847873
"85",0.0017669881618619
"86",-0.00674569459336446
"87",-0.0138205377548001
"88",-0.0105956251443777
"89",0.00763320003992029
"90",0.00166922381344822
"91",-0.000765902615567176
"92",-0.000675130510591734
"93",-0.0106432567008142
"94",0.00679359914976881
"95",-0.00257772377632988
"96",0.000468244390869832
"97",0.00400423596533631
"98",0.00169027071908899
"99",0.015975285169239
"100",0.00169650046875056
"101",0.00567037676213106
"102",-0.000535224159259136
"103",0.000463804904031475
"104",0.00337464128873971
"105",-0.00744994864233399
"106",0.00523415122925096
"107",0.0158383135087139
"108",0.00154210990897837
"109",-0.00954487113227681
"110",0.00453304843115294
"111",-0.00988612642238899
"112",0.00595400736258297
"113",0.00136835235566582
"114",-0.0013329830973706
"115",0.00262009758200636
"116",-0.00416716171752755
"117",0.0036295947057095
"118",0.00847066823083618
"119",-0.0029850935899674
"120",-0.00546792726998773
"121",-0.0009525423036741
"122",0.00251149097922485
"123",0.0040754850507456
"124",-0.0104857157385006
"125",-0.00315832673929239
"126",-0.00818177743456655
"127",0.00189747852534647
"128",-0.00827858312961246
"129",0.00333052188127684
"130",0.00138285279364854
"131",0.000708717329101138
"132",-0.00329653355821438
"133",-0.00430991171556173
"134",-0.00480049367888925
"135",-0.000444982480753397
"136",0.00703308907984509
"137",-0.0134301251171744
"138",0.00270227393577471
"139",-0.00974796550367916
"140",-0.00196289463278793
"141",0.00987663290261116
"142",0.000538831553386254
"143",0.00456316983057078
"144",0.00117150705030406
"145",0.00443775191457024
"146",-0.00628205166186133
"147",-0.000964315141991336
"148",-0.0164550193352068
"149",-0.0156017666472428
"150",0.0011741555972061
"151",0.012890470057401
"152",-0.00301648143614504
"153",-0.0117438853628871
"154",0.00147560760200825
"155",0.0135626775979212
"156",0.00219337465367349
"157",0.0123665562793056
"158",-0.00360415998689539
"159",0.00650354895072837
"160",-0.00243380733834117
"161",0.000465253601396028
"162",0.00796862215436325
"163",0.000117648819955049
"164",0.00242225449334539
"165",-0.00781182714507726
"166",0.00462013065367888
"167",0.00151124968415034
"168",0.0111501131776744
"169",-0.00419371527634213
"170",0.00686381575577675
"171",-0.00449598235248544
"172",0.00188842633571685
"173",0.00494139964737017
"174",0.00168899766519991
"175",0.00222701320830503
"176",-0.00707964099905897
"177",0.00278982910750661
"178",0.00448485351862951
"179",-0.0056426653382147
"180",0.0063070141613393
"181",-0.0140358719539322
"182",-0.00468071094674326
"183",0.00157766423354196
"184",-0.00595400791797877
"185",0.0059090323018478
"186",0.00426093972381522
"187",-0.000197447517848411
"188",0.0150665731837514
"189",0.00323827207426709
"190",-0.000608079210805893
"191",0.0066505569123939
"192",-0.0100322256874998
"193",-0.00755512062571065
"194",0.00200308985232948
"195",-0.0022705154376956
"196",-0.00732723303081412
"197",-0.0093462705073405
"198",0.00444037295978071
"199",0.00523807880716365
"200",-0.00973288915544131
"201",0.000389737334916136
"202",0.00256087375971325
"203",-0.00976290894322016
"204",-0.00085818240906423
"205",0.0147697419305933
"206",0.0127970649956965
"207",0.0018109742197855
"208",0.00244504108001911
"209",0.000274301968011335
"210",4.42700373009152e-05
"211",0.0111181679058901
"212",0.0160273578884239
"213",0.00386624977279596
"214",-0.00109823804909061
"215",-0.000695636815078218
"216",-0.00100552385569623
"217",0.00904816262309672
"218",0.00906846786058673
"219",-0.000304044239180577
"220",-0.00710401631603226
"221",0.00552302290841439
"222",0.00136133120594845
"223",-0.0112241622260759
"224",0.00587843175777874
"225",-0.000254907303997435
"226",0.0040870608120716
"227",0.000752842931308755
"228",-0.00345591028064138
"229",-0.00403845167900693
"230",0.0148405594196188
"231",-0.000873358651324854
"232",0.000705511589729842
"233",-0.000772685182882421
"234",-0.0111351149768198
"235",0.00486475889723769
"236",0.00542142640941917
"237",-0.00104321848187489
"238",0.00894977521787127
"239",0.00391327198740207
"240",0.00194260643384704
"241",-0.00208392169569938
"242",-0.00751648864084824
"243",0.00037681164753962
"244",0.00899962481646641
"245",0.00341197943624749
"246",0.000462915745797304
"247",-0.00431458472030915
"248",0.00712852916653499
"249",-7.42383701860285e-05
"250",8.248673778874e-05
"251",-0.00134407357407311
"252",-0.00815256204784682
"253",-0.0117400043847161
"254",-0.00363443919327941
"255",0.00349972688938792
"256",-0.00143219568359416
"257",0.00341692838370697
"258",-0.0061182454723811
"259",0.0039734990664497
"260",-0.00866758099409058
"261",0.00598660403193708
"262",0.0096282709254362
"263",-0.00953542298376252
"264",-0.00781344168486367
"265",-0.00643547932045657
"266",-0.00353402305161993
"267",0.00399632985161503
"268",0.00483241963293872
"269",0.00040883799571499
"270",-0.00271968267870884
"271",0.00842469302282693
"272",0.00686726715863026
"273",0.00317292909969953
"274",-0.0027694655050197
"275",0.0109825205031991
"276",-0.0010895591835757
"277",0.000482590104529293
"278",-0.00861225845747368
"279",0.00420261776465328
"280",0.0069017502051707
"281",0.000696650824547266
"282",0.00329433426212783
"283",0.000181759423647278
"284",-0.0079549220708654
"285",0.000699289747905969
"286",-0.0146119599796052
"287",0.00559169983285766
"288",0.00786277772599575
"289",0.00926377760227186
"290",-0.00643490100266949
"291",0.00564212793809362
"292",-0.000272736618104389
"293",0.000322252928973915
"294",0.00957836186691996
"295",0.00260686942068315
"296",-0.00481034052782695
"297",-0.0102373453223188
"298",0.00185409754498185
"299",-0.00761214810111093
"300",0.00560886609169002
"301",-0.00755225393044011
"302",-0.00811470022614856
"303",0.00179963276778566
"304",-0.000470562585375787
"305",-0.00494643360273959
"306",-0.0102485462092561
"307",0.000699645425590822
"308",-0.000947106721432445
"309",0.00243849314016637
"310",-0.00762517918101143
"311",0.0136786297313708
"312",-0.000694384752181237
"313",-0.0065178809492634
"314",0.00272447731672446
"315",0.00447084278556942
"316",0.0022658872536414
"317",0.00595323306695834
"318",-0.00838001449159189
"319",8.47419880338604e-06
"320",0.00552988480278277
"321",-0.0118313255056288
"322",-0.0100521342630217
"323",-0.0168618619627654
"324",0.00293628226993428
"325",0.00591629281362938
"326",-0.0133435700606669
"327",0.019543986803022
"328",-0.0067731393687059
"329",0.00862497296083332
"330",-0.0088767484509082
"331",0.00394249639216655
"332",-0.0114456235739421
"333",0.011851956462206
"334",0.00457959892533375
"335",-0.000852216655406016
"336",0.0123930515603474
"337",-0.00257211334129763
"338",-0.00109218460463223
"339",0.00637396617240212
"340",-0.0107631508697196
"341",0.00418428024710981
"342",-0.010083888412137
"343",-0.00459057907578605
"344",0.0100355990912024
"345",0.00693325463537327
"346",0.00996889548132164
"347",0.00464513544523188
"348",-0.00151231503801065
"349",0.00384363626563954
"350",0.000175851841596387
"351",-0.00340587608039617
"352",0.00637453131772754
"353",0.000968147436553591
"354",-0.00609137985343446
"355",0.0089568057259322
"356",0.00172039082451147
"357",-0.00689081998025124
"358",0.00124501502684505
"359",-0.000208788316931622
"360",-0.00216558743303495
"361",0.00522626795724729
"362",-0.00235099840967967
"363",0.00225930908152119
"364",0.00257000961982868
"365",0.00221525331170783
"366",0.0036235262503506
"367",0.00494251244462459
"368",-0.000706916730218183
"369",-0.00204962003374778
"370",0.000222468091279344
"371",-0.0108921560852183
"372",-0.00765796867077171
"373",-0.000738798421939694
"374",0.00909606849566019
"375",-0.0014324616711678
"376",-0.00712623544105345
"377",0.00260711405272654
"378",0.00879385280379538
"379",-0.00837533416563752
"380",0.00244904965556516
"381",0.0116113817978248
"382",0.00623533158529963
"383",0.00226897452987508
"384",0.00088331890838511
"385",0.00262060235641846
"386",0.00115713209502465
"387",-0.00554505324533158
"388",0.00670889099264074
"389",0.00474730619909175
"390",-0.00662806388868019
"391",0.0053968192352823
"392",-0.00377635189155841
"393",0.00173157793509086
"394",0.00456250287251356
"395",0.00558752002041879
"396",-0.00770003957687616
"397",0.000947485512339228
"398",0.00707413778616341
"399",0.000739240526585375
"400",-0.00740061713022875
"401",-0.00766767999117915
"402",-0.0026862411261645
"403",0.00672234461071296
"404",-0.00182888963526002
"405",0.00703713045969632
"406",-0.00601253227318085
"407",0.00282436331254344
"408",-0.0118458667931727
"409",0.000737851983626702
"410",-0.0010002794289759
"411",0.000565820267256068
"412",0.00165477754167987
"413",-0.00339440394428907
"414",-0.00659203618623542
"415",0.00229568660312276
"416",-0.00601458676680552
"417",0.0059403774422037
"418",-0.00319743404798447
"419",0.00981580377464713
"420",0.0010319829623916
"421",-0.00292665537412904
"422",0.0125398821997119
"423",0.00240507916570597
"424",-0.00380055914701217
"425",0.0079331927913957
"426",-0.000741262753738636
"427",-0.00757367392188847
"428",-0.00328667945536536
"429",0.000464335506602796
"430",0.0082575813959488
"431",-0.00558139144080668
"432",-0.00789452123117944
"433",-0.00916299379983082
"434",0.00364567179316912
"435",0.000551496930232203
"436",0.000279701361116906
"437",2.47023566863835e-05
"438",0.00101126846221632
"439",0.00882781743481539
"440",0.000920015885151025
"441",-0.00171867183020373
"442",-0.010019853743549
"443",-0.0149990419345344
"444",-0.00410408503094237
"445",0.00369444386433943
"446",-0.00719200863545251
"447",-0.00207399196519374
"448",-0.006086612731749
"449",-0.000713595908554969
"450",0.00823389577137975
"451",0.00297056975410514
"452",-0.0101003805897564
"453",0.0148450385600938
"454",-0.0151336416769069
"455",0.00151855851176991
"456",0.016637869183026
"457",-0.00237066938653254
"458",-0.00432178809696607
"459",-0.0105304821715563
"460",0.0164138857010117
"461",0.00715052844982898
"462",-0.00352731121398937
"463",0.00992761049367847
"464",0.00425509472221407
"465",0.000163989087439093
"466",0.00218591860532347
"467",-0.00345711225879915
"468",0.00168909913890065
"469",0.00841079728288128
"470",0.00304987896598754
"471",-0.00077777498176056
"472",-0.00385744982462526
"473",0.00178841874664907
"474",0.00936954388568477
"475",0.0043916705227247
"476",0.00525741572403909
"477",0.0050713957173168
"478",0.00346678802683147
"479",0.00208378964819242
"480",-0.00854421518856284
"481",1.59204845577127e-05
"482",-0.00638225362995491
"483",0.0120838041996217
"484",0.000324073219063235
"485",-0.00236627668257634
"486",0.00127483727667013
"487",-0.00502165310079918
"488",-0.00121758986290971
"489",0.00280694786474559
"490",0.000841383154016426
"491",0.00553829531298491
"492",0.0041807785824551
"493",-0.00141531102730985
"494",-0.00285234588393044
"495",-0.00585613041909942
"496",-0.000238177464847969
"497",0.00251350539468852
"498",0.00421189521728033
"499",0.000425767362105669
"500",-0.0095993092299025
"501",0.00129637616845596
"502",-0.00298496981458425
"503",-0.00489870335605807
"504",0.0162969643413788
"505",0.00366596438625577
"506",1.57204580485377e-05
"507",0.00935551838421723
"508",0.00364969599621813
"509",-0.000356675622353005
"510",0.00347549747694334
"511",-0.00629400487515921
"512",0.00120444883665769
"513",-0.00364120903795174
"514",-0.00390494298308781
"515",0.00554825326332
"516",-0.0184963224099925
"517",0.00184528376666053
"518",0.00240254841144466
"519",-0.0017222182116821
"520",0.00720890753548994
"521",0.00773401437250556
"522",0.00114443161796667
"523",-0.00398398009930053
"524",0.00185753638518531
"525",-0.00910200577558827
"526",-0.00537301946036208
"527",0.000782894973074496
"528",-0.00812766601011025
"529",0.00862556173328822
"530",-0.00147859036871215
"531",0.00253674781516488
"532",-0.00326502250458894
"533",0.00998282304398545
"534",0.00349827645183725
"535",0.00730140853907519
"536",-0.00166110264188332
"537",-0.00327589293765423
"538",0.00748538990251999
"539",-0.00378227954974224
"540",0.00127270067031229
"541",0.00363062179503581
"542",-0.0104553269774365
"543",0.00822739269329946
"544",-0.00162764867622243
"545",-0.00148273309597711
"546",-0.00699282186992728
"547",-0.00186364534286323
"548",0.0020278871201146
"549",-0.00489277672969809
"550",0.00719762149356018
"551",0.0021125777270366
"552",0.0103424565766225
"553",0.00426075558059674
"554",0.00177118649639351
"555",0.00146984538141461
"556",-0.00166138618089185
"557",-0.00603310104321873
"558",0.00600251471595003
"559",-0.00258563237750307
"560",0.000982797745531337
"561",-0.00102893845500914
"562",-0.00645899872572224
"563",0.00744193548896664
"564",-0.00202833158316099
"565",-0.0041462534298418
"566",0.00226797342972481
"567",0.00623719810045635
"568",0.00430184132400235
"569",-0.00192323911631383
"570",-0.0103973529590452
"571",0.00086415381154786
"572",-0.00778115412637851
"573",0.00120406654833703
"574",0.0007760240055049
"575",-0.00294435073311514
"576",0.0169332046460262
"577",0.0020250765018055
"578",0.00116724897227632
"579",-0.00013720890486835
"580",-0.00242044558102563
"581",-0.00488151259733456
"582",0.00281537029714724
"583",0.00329615768053923
"584",0.000679314969938933
"585",-0.00414408735668902
"586",0.00612591270304605
"587",-0.00388350364334979
"588",0.00315223293683642
"589",0.0102426661226858
"590",-0.000830038734127436
"591",0.000362276749305589
"592",-0.00172964372362815
"593",-0.0128806746783587
"594",-0.0113048174610964
"595",0.00252153078440282
"596",-0.00187123127262904
"597",-0.0169844939825457
"598",-0.00672155040860183
"599",0.00412835761496244
"600",-0.0039224146258121
"601",-0.00435947761064854
"602",0.00158240321800708
"603",0.0113059403113115
"604",0.00570304336572052
"605",-0.0159765596575212
"606",0.00807920002841416
"607",0.0122233273698583
"608",0.0019503332475382
"609",-0.0179600220173386
"610",-0.00113877731074306
"611",-0.00611109137700848
"612",0.00141604844635216
"613",-0.00448565597016516
"614",-0.0119372174925926
"615",-0.011173845930324
"616",0.00517588478216243
"617",0.0210127547396168
"618",-0.00368465144096777
"619",-0.00915860746773235
"620",-8.07157796593977e-06
"621",0.00969382014439882
"622",-0.00528464339779297
"623",-0.000883479111898876
"624",0.00485765502067014
"625",-0.00912552712860011
"626",0.00547244964768176
"627",0.021335769185164
"628",-0.00209985960497749
"629",0.00783412870074796
"630",-0.00727525243770683
"631",0.002491108826708
"632",-0.00677283362093519
"633",0.00146870738967112
"634",0.0040083115136386
"635",-0.0109285276046688
"636",-0.013051548192745
"637",-0.00490630577568679
"638",-0.00138419733036251
"639",0.00191797670676271
"640",0.0183850643312048
"641",-0.00851364954933866
"642",-0.00710205816695147
"643",0.0164884548800159
"644",0.00630091584549375
"645",-0.000378342531319662
"646",-0.00410813762499162
"647",0.0120785161997179
"648",-0.0014793421532657
"649",-0.00450623711243588
"650",0.00509353503417159
"651",0.00223639116973828
"652",-0.000711067002883573
"653",-0.00281000823887088
"654",-0.00336837225926526
"655",-0.00435877104095048
"656",0.00461833886198825
"657",-0.0039944653469491
"658",0.00115976322704974
"659",0.0136035175554735
"660",0.00763278363172107
"661",0.00158117879747459
"662",0.00370806285758251
"663",-0.00367720423522947
"664",0.00100135335398771
"665",-0.00449876034902123
"666",0.00237158010885386
"667",-0.00074877394949862
"668",0.00515241678593877
"669",0.00191860564275237
"670",0.000835334909658773
"671",-0.00118814578109146
"672",0.00549946399483735
"673",0.0017071408854651
"674",-0.00994072887125942
"675",-0.00481058497739831
"676",0.00377951678563569
"677",0.000477201965123477
"678",0.0103042095666238
"679",0.0038539093735431
"680",-0.00135890620776886
"681",0.00256455507631126
"682",0.00115116375738008
"683",-0.00268304855537588
"684",0.00570607103444284
"685",-0.00541011998990289
"686",-0.00246884627333857
"687",0.00877651031424587
"688",0.0074961147332165
"689",0.00017957024121813
"690",0.00171187839656457
"691",-0.00226567213525387
"692",-0.00339688417723541
"693",0.0020935009758711
"694",0.0119883015774317
"695",0.00223422248469668
"696",-0.00268609865335928
"697",0.000792569884558926
"698",0.0020413675958842
"699",-0.00256723621669779
"700",0.00949586926127288
"701",0.00204514657399179
"702",0.00251588136347425
"703",-0.0036661643184791
"704",0.00128212185806729
"705",0.000848894286278235
"706",0.0011990341158503
"707",0.00613345645545161
"708",0.000261389304691765
"709",0.00350773360326665
"710",0.00495074480879479
"711",-0.00848754783685153
"712",0.00042833398938321
"713",7.17573421836418e-06
"714",-0.00737862425334979
"715",-0.00034374185976656
"716",-0.00222570926682104
"717",0.0112825750269327
"718",0.00221524334159753
"719",0.00208050826977896
"720",-0.0053472494729517
"721",0.00186288864706548
"722",0.00254583292017979
"723",0.00633628271003951
"724",0.00240159818175824
"725",0.00228160832990462
"726",0.00102817716296143
"727",-0.000499661775804919
"728",0.00164809390923607
"729",0.00233536878404926
"730",-0.00366223534060254
"731",-0.0136477899701755
"732",0.00343847217662249
"733",0.00915949981987441
"734",0.000821413790701675
"735",-0.00280269581762611
"736",0.00884594953975611
"737",0.00399451969496654
"738",-0.00131556523580486
"739",-0.0039784501220787
"740",0.0018103015833674
"741",0.00226724097903694
"742",-0.00104792222121189
"743",0.00116816768796442
"744",0.00865192243674006
